Rk,Team,Date,SCA,,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,SCA,PassLive,PassDead,TO,Sh,Fld,Def,Match Report
670,Villarreal,2025-01-13,28,@,Real Sociedad,es La Liga,L 0-1,0,1,-1,44,0,0,0,0,28,22,2,1,0,3,0,Match Report
671,Villarreal,2024-12-15,28,,Betis,es La Liga,L 1-2,1,2,-1,62,1,0,0,0,28,19,3,0,5,0,1,Match Report
672,Athletic Club,2025-03-01,28,@,Atlético Madrid,es La Liga,L 0-1,0,1,-1,50,0,0,0,0,28,19,2,2,2,2,1,Match Report
673,Gladbach,2025-03-29,28,,RB Leipzig,de Bundesliga,W 1-0,1,0,+1,40,1,0,0,0,28,21,3,1,2,1,0,Match Report
674,Toulouse,2025-01-26,28,,Montpellier,fr Ligue 1,L 1-2,1,2,-1,66,1,0,0,0,28,22,5,1,0,0,0,Match Report
675,Fiorentina,2024-09-22,28,,Lazio,it Serie A,W 2-1,2,1,+1,46,0,2,2,0,28,19,3,2,1,2,1,Match Report
676,Wolfsburg,2024-09-14,28,,Eint Frankfurt,de Bundesliga,L 1-2,1,2,-1,60,1,0,0,0,28,23,3,0,2,0,0,Match Report
677,St. Pauli,2025-01-11,28,,Eint Frankfurt,de Bundesliga,L 0-1,0,1,-1,43,0,0,0,0,28,22,1,0,5,0,0,Match Report
678,Stuttgart,2024-10-26,28,,Holstein Kiel,de Bundesliga,W 2-1,2,1,+1,58,2,0,0,0,28,26,1,1,0,0,0,Match Report
679,Auxerre,2024-09-27,28,,Brest,fr Ligue 1,W 3-0,3,0,+3,39,2,1,1,0,28,18,3,0,3,2,2,Match Report
680,Werder Bremen,2024-11-09,28,,Holstein Kiel,de Bundesliga,W 2-1,2,1,+1,60,2,0,0,0,28,25,1,0,0,2,0,Match Report
681,Werder Bremen,2024-11-03,28,@,Gladbach,de Bundesliga,L 1-4,1,4,-3,53,1,0,0,0,28,23,1,2,1,1,0,Match Report
682,Reims,2025-04-06,28,,Strasbourg,fr Ligue 1,L 0-1,0,1,-1,48,0,0,0,0,28,19,3,1,1,3,1,Match Report
683,Girona,2024-10-06,28,,Athletic Club,es La Liga,W 2-1,2,1,+1,66,1,1,1,0,28,23,2,1,1,1,0,Match Report
684,Atalanta,2024-12-06,28,,Milan,it Serie A,W 2-1,2,1,+1,52,2,0,0,0,28,18,4,3,2,1,0,Match Report
685,Rayo Vallecano,2024-10-26,28,,Alavés,es La Liga,W 1-0,1,0,+1,51,0,0,0,0,28,20,3,2,0,3,0,Match Report
686,Freiburg,2024-09-21,28,@,Heidenheim,de Bundesliga,W 3-0,3,0,+3,58,3,0,0,0,28,24,1,2,1,0,0,Match Report
687,Dortmund,2025-03-08,28,,Augsburg,de Bundesliga,L 0-1,0,1,-1,71,0,0,0,0,28,20,5,1,2,0,0,Match Report
688,Newcastle Utd,2024-12-04,28,,Liverpool,eng Premier League,D 3-3,3,3,0,42,3,0,0,0,28,18,2,4,1,3,0,Match Report
689,Rennes,2025-03-02,28,@,Montpellier,fr Ligue 1,W 4-0,4,0,+4,54,4,0,1,1,28,16,4,4,2,2,0,Match Report
690,Bochum,2025-02-15,28,,Dortmund,de Bundesliga,W 2-0,2,0,+2,31,2,0,0,0,28,17,2,2,6,1,0,Match Report
691,Ipswich Town,2025-02-01,28,,Southampton,eng Premier League,L 1-2,1,2,-1,57,1,0,0,0,28,21,0,4,0,2,1,Match Report
692,Manchester City,2024-12-04,28,,Nott'ham Forest,eng Premier League,W 3-0,3,0,+3,66,3,0,0,0,28,21,3,2,1,0,1,Match Report
693,Manchester City,2024-08-24,28,,Ipswich Town,eng Premier League,W 4-1,4,1,+3,75,3,1,1,0,28,22,2,1,0,2,1,Match Report
694,Leverkusen,2025-03-16,28,@,Stuttgart,de Bundesliga,W 4-3,4,3,+1,57,3,0,0,0,28,21,2,0,4,1,0,Match Report
695,Roma,2025-03-29,28,@,Lecce,it Serie A,W 1-0,1,0,+1,55,1,0,0,0,28,23,3,0,2,0,0,Match Report
696,Roma,2025-02-16,28,@,Parma,it Serie A,W 1-0,1,0,+1,71,1,0,0,0,28,22,0,2,3,1,0,Match Report
697,Roma,2024-11-10,28,,Bologna,it Serie A,L 2-3,2,3,-1,54,2,0,0,0,28,15,5,3,2,3,0,Match Report
698,Roma,2024-10-06,28,@,Monza,it Serie A,D 1-1,1,1,0,65,1,0,0,0,28,24,0,3,1,0,0,Match Report
699,Roma,2024-09-15,28,@,Genoa,it Serie A,D 1-1,1,1,0,52,1,0,0,0,28,14,6,1,4,3,0,Match Report
700,Brighton,2025-03-15,28,@,Manchester City,eng Premier League,D 2-2,2,2,0,40,1,0,0,0,28,21,3,2,0,1,1,Match Report
701,Brighton,2024-12-08,28,@,Leicester City,eng Premier League,D 2-2,2,2,0,44,2,0,0,0,28,20,2,2,1,3,0,Match Report
702,Saint-Étienne,2025-01-04,28,,Reims,fr Ligue 1,W 3-1,3,1,+2,53,3,0,0,0,28,24,1,3,0,0,0,Match Report
703,Everton,2024-11-02,28,@,Southampton,eng Premier League,L 0-1,0,1,-1,35,0,0,0,0,28,12,5,4,2,4,1,Match Report
704,Napoli,2025-03-16,28,@,Venezia,it Serie A,D 0-0,0,0,0,57,0,0,0,0,28,19,4,2,2,1,0,Match Report
705,Lyon,2025-03-16,28,,Le Havre,fr Ligue 1,W 4-2,4,2,+2,67,3,1,1,0,28,22,0,1,4,1,0,Match Report
706,Lyon,2025-02-09,28,,Reims,fr Ligue 1,W 4-0,4,0,+4,67,4,0,0,0,28,23,2,1,1,1,0,Match Report
707,Lyon,2024-12-01,28,,Nice,fr Ligue 1,W 4-1,4,1,+3,53,3,1,1,0,28,22,1,1,1,2,1,Match Report
708,Lyon,2024-11-10,28,,Saint-Étienne,fr Ligue 1,W 1-0,1,0,+1,62,1,0,0,0,28,19,2,1,4,1,1,Match Report
709,Lyon,2024-10-20,28,@,Le Havre,fr Ligue 1,W 4-0,4,0,+4,61,4,0,0,0,28,25,1,1,1,0,0,Match Report
710,Inter,2025-02-02,28,@,Milan,it Serie A,D 1-1,1,1,0,63,1,0,0,0,28,23,4,0,0,0,1,Match Report
711,Inter,2024-10-27,28,,Juventus,it Serie A,D 4-4,4,4,0,47,2,2,2,0,28,13,6,1,5,3,0,Match Report
712,Milan,2025-02-08,28,@,Empoli,it Serie A,W 2-0,2,0,+2,61,2,0,0,0,28,20,2,3,2,1,0,Match Report
713,Valencia,2024-12-07,28,,Rayo Vallecano,es La Liga,L 0-1,0,1,-1,60,0,0,0,0,28,17,6,1,1,2,1,Match Report
714,Juventus,2025-02-16,28,,Inter,it Serie A,W 1-0,1,0,+1,42,1,0,0,0,28,22,2,3,1,0,0,Match Report
715,Juventus,2025-01-11,28,@,Torino,it Serie A,D 1-1,1,1,0,59,1,0,0,0,28,21,1,1,3,2,0,Match Report
716,Real Sociedad,2024-10-06,28,,Atlético Madrid,es La Liga,D 1-1,1,1,0,66,1,0,0,0,28,22,2,2,1,1,0,Match Report
717,Eint Frankfurt,2024-10-27,28,@,Union Berlin,de Bundesliga,D 1-1,1,1,0,52,1,0,0,0,28,11,6,0,8,3,0,Match Report
718,Lecce,2025-03-29,28,,Roma,it Serie A,L 0-1,0,1,-1,45,0,0,0,0,28,22,2,1,2,1,0,Match Report
719,Osasuna,2025-01-24,27,@,Las Palmas,es La Liga,D 1-1,1,1,0,49,1,0,0,0,27,16,1,4,3,2,1,Match Report
720,Udinese,2025-01-04,27,@,Hellas Verona,it Serie A,D 0-0,0,0,0,63,0,0,0,0,27,25,0,0,0,2,0,Match Report
721,Hellas Verona,2025-01-19,27,,Lazio,it Serie A,L 0-3,0,3,-3,36,0,0,0,0,27,22,2,0,3,0,0,Match Report
722,Heidenheim,2024-09-28,27,@,Mainz 05,de Bundesliga,W 2-0,2,0,+2,50,2,0,0,0,27,16,5,1,4,1,0,Match Report
723,Manchester Utd,2024-09-21,27,@,Crystal Palace,eng Premier League,D 0-0,0,0,0,67,0,0,0,0,27,19,4,1,2,1,0,Match Report
724,Bologna,2024-09-22,27,@,Monza,it Serie A,W 2-1,2,1,+1,57,2,0,0,0,27,25,0,0,0,1,1,Match Report
725,Monza,2024-12-22,27,,Juventus,it Serie A,L 1-2,1,2,-1,45,1,0,0,0,27,24,1,0,2,0,0,Match Report
726,Montpellier,2025-01-31,27,,Lens,fr Ligue 1,L 0-2,0,2,-2,49,0,0,0,0,27,17,4,0,1,5,0,Match Report
727,Montpellier,2024-09-22,27,,Auxerre,fr Ligue 1,W 3-2,3,2,+1,54,3,0,0,0,27,21,3,1,1,0,1,Match Report
728,Como,2024-12-30,27,,Lecce,it Serie A,W 2-0,2,0,+2,56,2,0,1,1,27,19,3,0,3,2,0,Match Report
729,Como,2024-09-14,27,,Bologna,it Serie A,D 2-2,2,2,0,44,1,0,0,0,27,15,4,5,1,1,1,Match Report
730,Villarreal,2024-09-26,27,@,Espanyol,es La Liga,W 2-1,2,1,+1,44,2,0,0,0,27,19,2,2,1,2,1,Match Report
731,Mallorca,2025-01-25,27,,Betis,es La Liga,L 0-1,0,1,-1,48,0,0,0,0,27,14,3,3,5,2,0,Match Report
732,Holstein Kiel,2025-03-16,27,@,Heidenheim,de Bundesliga,L 1-3,1,3,-2,61,1,0,0,0,27,17,3,2,1,3,1,Match Report
733,Gladbach,2024-11-24,27,,St. Pauli,de Bundesliga,W 2-0,2,0,+2,48,2,0,0,0,27,16,4,2,4,1,0,Match Report
734,Gladbach,2024-11-03,27,,Werder Bremen,de Bundesliga,W 4-1,4,1,+3,47,3,0,0,0,27,19,3,1,3,0,1,Match Report
735,Tottenham,2025-01-26,27,,Leicester City,eng Premier League,L 1-2,1,2,-1,61,1,0,0,0,27,20,0,4,1,2,0,Match Report
736,Toulouse,2025-02-02,27,,Nice,fr Ligue 1,D 1-1,1,1,0,54,1,0,0,0,27,12,6,1,5,3,0,Match Report
737,Bournemouth,2025-03-09,27,@,Tottenham,eng Premier League,D 2-2,2,2,0,39,2,0,0,0,27,20,1,0,4,1,1,Match Report
738,Bournemouth,2024-12-29,27,@,Fulham,eng Premier League,D 2-2,2,2,0,48,2,0,0,0,27,19,5,2,0,0,1,Match Report
739,Real Madrid,2025-01-03,27,@,Valencia,es La Liga,W 2-1,2,1,+1,62,2,0,1,1,27,18,2,1,3,2,1,Match Report
740,Stuttgart,2025-01-15,27,,RB Leipzig,de Bundesliga,W 2-1,2,1,+1,58,2,0,0,0,27,22,0,2,2,0,1,Match Report
741,Werder Bremen,2024-10-20,27,@,Wolfsburg,de Bundesliga,W 4-2,4,2,+2,57,4,0,0,0,27,20,1,2,2,1,1,Match Report
742,Genoa,2025-01-12,27,,Parma,it Serie A,W 1-0,1,0,+1,61,1,0,0,0,27,20,3,1,2,1,0,Match Report
743,Angers,2024-09-01,27,,Nice,fr Ligue 1,L 1-4,1,4,-3,54,0,1,1,0,27,22,1,2,0,2,0,Match Report
744,Getafe,2024-12-21,27,,Mallorca,es La Liga,L 0-1,0,1,-1,54,0,0,0,0,27,19,2,3,1,2,0,Match Report
745,Getafe,2024-09-28,27,,Alavés,es La Liga,W 2-0,2,0,+2,46,1,1,1,0,27,11,5,3,2,6,0,Match Report
746,Union Berlin,2025-01-26,27,@,St. Pauli,de Bundesliga,L 0-3,0,3,-3,56,0,0,0,0,27,16,6,2,1,2,0,Match Report
747,West Ham,2024-12-26,27,@,Southampton,eng Premier League,W 1-0,1,0,+1,46,1,0,0,0,27,18,2,1,4,2,0,Match Report
748,West Ham,2024-12-16,27,@,Bournemouth,eng Premier League,D 1-1,1,1,0,48,0,1,1,0,27,21,3,2,1,0,0,Match Report
749,West Ham,2024-09-21,27,,Chelsea,eng Premier League,L 0-3,0,3,-3,53,0,0,0,0,27,20,1,2,1,2,1,Match Report
750,Liverpool,2024-12-14,27,,Fulham,eng Premier League,D 2-2,2,2,0,61,2,0,0,0,27,15,3,5,2,2,0,Match Report
751,Liverpool,2024-09-14,27,,Nott'ham Forest,eng Premier League,L 0-1,0,1,-1,68,0,0,0,0,27,19,4,1,2,0,1,Match Report
752,Aston Villa,2024-10-19,27,@,Fulham,eng Premier League,W 3-1,3,1,+2,48,2,0,0,0,27,16,3,3,3,2,0,Match Report
753,Wolves,2025-02-16,27,@,Liverpool,eng Premier League,L 1-2,1,2,-1,50,1,0,0,0,27,19,1,2,1,3,1,Match Report
754,Alavés,2025-02-22,27,,Espanyol,es La Liga,L 0-1,0,1,-1,62,0,0,0,0,27,13,5,2,2,4,1,Match Report
755,Alavés,2024-09-01,27,,Las Palmas,es La Liga,W 2-0,2,0,+2,30,2,0,1,1,27,19,3,1,0,4,0,Match Report
756,Atalanta,2025-03-09,27,@,Juventus,it Serie A,W 4-0,4,0,+4,37,3,1,1,0,27,17,1,1,6,0,2,Match Report
757,Atalanta,2024-11-23,27,@,Parma,it Serie A,W 3-1,3,1,+2,55,3,0,0,0,27,22,2,1,1,0,1,Match Report
758,Rayo Vallecano,2024-09-22,27,,Atlético Madrid,es La Liga,D 1-1,1,1,0,54,1,0,0,0,27,19,1,2,3,2,0,Match Report
759,Empoli,2025-02-16,27,@,Udinese,it Serie A,L 0-3,0,3,-3,44,0,0,0,0,27,20,0,1,4,1,1,Match Report
760,Freiburg,2024-08-24,27,,Stuttgart,de Bundesliga,W 3-1,3,1,+2,33,3,0,0,0,27,19,2,2,3,1,0,Match Report
761,Espanyol,2025-01-11,27,,Leganés,es La Liga,D 1-1,1,1,0,53,1,0,0,0,27,19,2,2,3,0,1,Match Report
762,Espanyol,2024-10-25,27,,Sevilla,es La Liga,L 0-2,0,2,-2,43,0,0,0,0,27,13,7,2,2,2,1,Match Report
763,Sevilla,2025-01-11,27,,Valencia,es La Liga,D 1-1,1,1,0,54,1,0,0,0,27,18,5,1,3,0,0,Match Report
764,Sevilla,2024-09-01,27,,Girona,es La Liga,L 0-2,0,2,-2,50,0,0,0,0,27,14,5,3,3,2,0,Match Report
765,Dortmund,2025-02-08,27,,Stuttgart,de Bundesliga,L 1-2,1,2,-1,68,1,0,0,0,27,17,2,5,0,2,1,Match Report
766,Newcastle Utd,2024-12-21,27,@,Ipswich Town,eng Premier League,W 4-0,4,0,+4,58,4,0,0,0,27,27,0,0,0,0,0,Match Report
767,Newcastle Utd,2024-11-10,27,@,Nott'ham Forest,eng Premier League,W 3-1,3,1,+2,56,3,0,0,0,27,23,2,0,1,1,0,Match Report
768,Newcastle Utd,2024-09-15,27,@,Wolves,eng Premier League,W 2-1,2,1,+1,51,2,0,0,0,27,19,1,5,1,1,0,Match Report
769,Bochum,2024-12-22,27,,Heidenheim,de Bundesliga,W 2-0,2,0,+2,52,2,0,0,0,27,19,2,2,0,4,0,Match Report
770,Bochum,2024-09-21,27,,Holstein Kiel,de Bundesliga,D 2-2,2,2,0,44,2,0,0,0,27,22,2,0,2,1,0,Match Report
771,Manchester City,2025-01-25,27,,Chelsea,eng Premier League,W 3-1,3,1,+2,56,3,0,0,0,27,21,0,1,4,1,0,Match Report
772,Manchester City,2024-11-09,27,@,Brighton,eng Premier League,L 1-2,1,2,-1,60,1,0,0,0,27,21,2,1,2,1,0,Match Report
773,Cagliari,2024-10-29,27,,Bologna,it Serie A,L 0-2,0,2,-2,42,0,0,0,0,27,19,5,0,1,2,0,Match Report
774,Lille,2025-01-25,27,@,Strasbourg,fr Ligue 1,L 1-2,1,2,-1,58,1,0,0,0,27,21,3,1,0,0,2,Match Report
775,Roma,2025-01-26,27,@,Udinese,it Serie A,W 2-1,2,1,+1,51,0,2,2,0,27,18,2,0,4,3,0,Match Report
776,Chelsea,2025-02-22,27,@,Aston Villa,eng Premier League,L 1-2,1,2,-1,48,1,0,0,0,27,22,1,1,2,0,1,Match Report
777,Chelsea,2025-01-04,27,@,Crystal Palace,eng Premier League,D 1-1,1,1,0,61,1,0,0,0,27,22,2,0,2,1,0,Match Report
778,Chelsea,2024-08-25,27,@,Wolves,eng Premier League,W 6-2,6,2,+4,60,6,0,0,0,27,21,1,3,1,1,0,Match Report
779,Brighton,2024-10-26,27,,Wolves,eng Premier League,D 2-2,2,2,0,51,2,0,0,0,27,18,3,2,2,2,0,Match Report
780,Brighton,2024-08-24,27,,Manchester Utd,eng Premier League,W 2-1,2,1,+1,48,2,0,0,0,27,20,1,2,1,3,0,Match Report
781,Napoli,2024-11-24,27,,Roma,it Serie A,W 1-0,1,0,+1,63,1,0,0,0,27,24,1,1,0,1,0,Match Report
782,Inter,2024-12-23,27,,Como,it Serie A,W 2-0,2,0,+2,62,2,0,0,0,27,20,3,1,2,0,1,Match Report
783,Nantes,2025-02-23,27,,Lens,fr Ligue 1,W 3-1,3,1,+2,35,2,1,1,0,27,16,1,4,5,0,1,Match Report
784,Juventus,2024-12-22,27,@,Monza,it Serie A,W 2-1,2,1,+1,55,2,0,0,0,27,20,2,1,3,1,0,Match Report
785,Juventus,2024-09-14,27,@,Empoli,it Serie A,D 0-0,0,0,0,65,0,0,0,0,27,20,3,1,2,0,1,Match Report
786,Paris S-G,2025-02-23,27,@,Lyon,fr Ligue 1,W 3-2,3,2,+1,65,3,0,0,0,27,19,0,6,1,1,0,Match Report
787,Eint Frankfurt,2025-02-08,27,@,Gladbach,de Bundesliga,D 1-1,1,1,0,47,1,0,0,0,27,21,1,2,1,2,0,Match Report
788,Eint Frankfurt,2025-02-02,27,,Wolfsburg,de Bundesliga,D 1-1,1,1,0,61,1,0,0,0,27,22,3,1,1,0,0,Match Report
789,Eint Frankfurt,2024-12-01,27,@,Heidenheim,de Bundesliga,W 4-0,4,0,+4,54,4,0,0,0,27,21,1,4,0,0,1,Match Report
790,Brest,2024-11-02,27,,Nice,fr Ligue 1,L 0-1,0,1,-1,63,0,0,0,0,27,21,3,0,3,0,0,Match Report
791,Betis,2024-09-23,27,,Mallorca,es La Liga,L 1-2,1,2,-1,61,1,0,0,0,27,22,2,2,0,0,1,Match Report
792,Betis,2024-08-25,27,@,Alavés,es La Liga,D 0-0,0,0,0,62,0,0,0,0,27,24,2,0,1,0,0,Match Report
793,Fulham,2024-12-26,27,@,Chelsea,eng Premier League,W 2-1,2,1,+1,53,2,0,0,0,27,20,1,4,1,1,0,Match Report
794,Lecce,2024-08-31,27,,Cagliari,it Serie A,W 1-0,1,0,+1,35,1,0,0,0,27,17,3,2,4,1,0,Match Report
795,Las Palmas,2024-09-15,26,,Athletic Club,es La Liga,L 2-3,2,3,-1,64,2,0,0,0,26,17,3,1,3,2,0,Match Report
796,Hoffenheim,2025-02-16,26,@,Werder Bremen,de Bundesliga,W 3-1,3,1,+2,37,3,0,0,0,26,18,4,0,2,2,0,Match Report
797,Bayern Munich,2024-11-30,26,@,Dortmund,de Bundesliga,D 1-1,1,1,0,67,1,0,0,0,26,23,0,1,0,2,0,Match Report
798,Augsburg,2025-03-02,26,,Freiburg,de Bundesliga,D 0-0,0,0,0,51,0,0,0,0,26,22,0,2,0,1,1,Match Report
799,Torino,2024-09-20,26,@,Hellas Verona,it Serie A,W 3-2,3,2,+1,70,3,0,1,1,26,19,1,0,3,3,0,Match Report
800,Nice,2024-11-24,26,,Strasbourg,fr Ligue 1,W 2-1,2,1,+1,54,1,0,0,0,26,20,0,3,1,2,0,Match Report
801,Arsenal,2025-02-26,26,@,Nott'ham Forest,eng Premier League,D 0-0,0,0,0,64,0,0,0,0,26,18,4,4,0,0,0,Match Report
802,Arsenal,2024-12-27,26,,Ipswich Town,eng Premier League,W 1-0,1,0,+1,68,1,0,0,0,26,21,2,0,2,1,0,Match Report
803,Heidenheim,2024-10-27,26,,Hoffenheim,de Bundesliga,D 0-0,0,0,0,47,0,0,0,0,26,16,1,4,2,2,1,Match Report
804,Barcelona,2024-11-03,26,,Espanyol,es La Liga,W 3-1,3,1,+2,76,3,0,0,0,26,22,1,2,0,0,1,Match Report
805,Barcelona,2024-10-26,26,@,Real Madrid,es La Liga,W 4-0,4,0,+4,57,4,0,0,0,26,21,3,0,0,1,1,Match Report
806,Monza,2024-10-27,26,,Venezia,it Serie A,D 2-2,2,2,0,46,2,0,0,0,26,15,4,2,1,4,0,Match Report
807,Como,2025-01-25,26,,Atalanta,it Serie A,L 1-2,1,2,-1,54,1,0,0,0,26,20,1,2,1,1,1,Match Report
808,Villarreal,2024-12-18,26,,Rayo Vallecano,es La Liga,D 1-1,1,1,0,45,1,0,0,0,26,18,3,2,1,1,1,Match Report
809,Holstein Kiel,2024-09-21,26,@,Bochum,de Bundesliga,D 2-2,2,2,0,56,2,0,0,0,26,18,4,1,0,3,0,Match Report
810,Athletic Club,2025-02-16,26,@,Espanyol,es La Liga,D 1-1,1,1,0,61,1,0,0,0,26,16,4,2,3,0,1,Match Report
811,Gladbach,2025-01-25,26,,Bochum,de Bundesliga,W 3-0,3,0,+3,57,3,0,1,1,26,16,4,2,2,1,1,Match Report
812,Gladbach,2024-08-23,26,,Leverkusen,de Bundesliga,L 2-3,2,3,-1,43,2,0,0,0,26,15,4,1,2,4,0,Match Report
813,Tottenham,2025-04-06,26,,Southampton,eng Premier League,W 3-1,3,1,+2,51,2,1,1,0,26,22,1,1,0,1,1,Match Report
814,Toulouse,2024-08-25,26,@,Nice,fr Ligue 1,D 1-1,1,1,0,43,1,0,0,0,26,15,3,3,2,2,1,Match Report
815,Fiorentina,2025-04-05,26,@,Milan,it Serie A,D 2-2,2,2,0,48,1,0,0,0,26,17,3,2,0,2,2,Match Report
816,Crystal Palace,2024-11-30,26,,Newcastle Utd,eng Premier League,D 1-1,1,1,0,49,1,0,0,0,26,16,4,1,4,1,0,Match Report
817,Crystal Palace,2024-08-24,26,,West Ham,eng Premier League,L 0-2,0,2,-2,58,0,0,0,0,26,23,2,0,1,0,0,Match Report
818,Bournemouth,2024-11-09,26,@,Brentford,eng Premier League,L 2-3,2,3,-1,49,2,0,0,0,26,18,1,3,2,2,0,Match Report
819,Real Madrid,2024-12-01,26,,Getafe,es La Liga,W 2-0,2,0,+2,69,1,1,1,0,26,23,1,1,0,1,0,Match Report
820,St. Pauli,2024-12-14,26,,Werder Bremen,de Bundesliga,L 0-2,0,2,-2,56,0,0,0,0,26,21,0,2,1,1,1,Match Report
821,St. Pauli,2024-11-24,26,@,Gladbach,de Bundesliga,L 0-2,0,2,-2,52,0,0,0,0,26,21,2,0,3,0,0,Match Report
822,St. Pauli,2024-10-26,26,,Wolfsburg,de Bundesliga,D 0-0,0,0,0,54,0,0,0,0,26,17,2,2,2,1,2,Match Report
823,Stuttgart,2025-02-23,26,@,Hoffenheim,de Bundesliga,D 1-1,1,1,0,55,1,0,0,0,26,23,0,1,2,0,0,Match Report
824,Stuttgart,2024-11-23,26,,Bochum,de Bundesliga,W 2-0,2,0,+2,58,2,0,0,0,26,18,1,3,2,1,1,Match Report
825,Auxerre,2025-01-05,26,@,Strasbourg,fr Ligue 1,L 1-3,1,3,-2,40,1,0,0,0,26,19,2,1,2,1,1,Match Report
826,Auxerre,2024-11-03,26,,Rennes,fr Ligue 1,W 4-0,4,0,+4,39,3,1,1,0,26,18,2,4,1,1,0,Match Report
827,Le Havre,2025-03-30,26,,Nantes,fr Ligue 1,W 3-2,3,2,+1,52,1,2,2,0,26,21,1,0,3,1,0,Match Report
828,Werder Bremen,2025-03-01,26,,Wolfsburg,de Bundesliga,L 1-2,1,2,-1,56,1,0,0,0,26,21,2,1,1,1,0,Match Report
829,Werder Bremen,2025-02-16,26,,Hoffenheim,de Bundesliga,L 1-3,1,3,-2,63,0,0,0,0,26,18,3,1,2,2,0,Match Report
830,Lazio,2025-01-05,26,@,Roma,it Serie A,L 0-2,0,2,-2,67,0,0,0,0,26,16,1,5,4,0,0,Match Report
831,Getafe,2024-12-09,26,,Espanyol,es La Liga,W 1-0,1,0,+1,43,1,0,0,0,26,19,1,1,2,2,1,Match Report
832,Getafe,2024-09-18,26,@,Betis,es La Liga,L 1-2,1,2,-1,35,1,0,0,0,26,17,4,3,2,0,0,Match Report
833,Union Berlin,2025-03-02,26,,Holstein Kiel,de Bundesliga,L 0-1,0,1,-1,52,0,0,0,0,26,12,8,1,2,3,0,Match Report
834,Union Berlin,2024-10-20,26,@,Holstein Kiel,de Bundesliga,W 2-0,2,0,+2,52,2,0,0,0,26,19,1,1,4,0,1,Match Report
835,West Ham,2024-11-25,26,@,Newcastle Utd,eng Premier League,W 2-0,2,0,+2,47,2,0,0,0,26,20,2,0,0,2,2,Match Report
836,West Ham,2024-08-24,26,@,Crystal Palace,eng Premier League,W 2-0,2,0,+2,42,2,0,0,0,26,14,3,2,6,0,1,Match Report
837,West Ham,2024-08-17,26,,Aston Villa,eng Premier League,L 1-2,1,2,-1,52,0,1,1,0,26,19,2,2,2,1,0,Match Report
838,Liverpool,2024-12-01,26,,Manchester City,eng Premier League,W 2-0,2,0,+2,44,1,1,1,0,26,18,3,1,1,1,2,Match Report
839,Wolves,2024-10-26,26,@,Brighton,eng Premier League,D 2-2,2,2,0,49,2,0,0,0,26,13,7,2,2,2,0,Match Report
840,Alavés,2024-10-26,26,@,Rayo Vallecano,es La Liga,L 0-1,0,1,-1,49,0,0,0,0,26,21,1,2,0,2,0,Match Report
841,Girona,2025-02-14,26,,Getafe,es La Liga,L 1-2,1,2,-1,71,1,0,0,0,26,20,4,0,1,0,1,Match Report
842,Atalanta,2025-01-18,26,,Napoli,it Serie A,L 2-3,2,3,-1,56,2,0,0,0,26,23,2,1,0,0,0,Match Report
843,Mainz 05,2025-03-01,26,@,RB Leipzig,de Bundesliga,W 2-1,2,1,+1,51,2,0,0,0,26,20,2,1,1,1,1,Match Report
844,Empoli,2025-03-15,26,@,Torino,it Serie A,L 0-1,0,1,-1,50,0,0,0,0,26,19,3,0,3,0,1,Match Report
845,Freiburg,2024-11-08,26,@,Union Berlin,de Bundesliga,D 0-0,0,0,0,59,0,0,1,1,26,23,0,1,1,1,0,Match Report
846,Freiburg,2024-10-19,26,,Augsburg,de Bundesliga,W 3-1,3,1,+2,57,3,0,0,0,26,20,2,1,3,0,0,Match Report
847,RB Leipzig,2025-04-05,26,,Hoffenheim,de Bundesliga,W 3-1,3,1,+2,66,3,0,0,0,26,20,2,0,3,1,0,Match Report
848,Dortmund,2025-03-01,26,@,St. Pauli,de Bundesliga,W 2-0,2,0,+2,57,2,0,0,0,26,20,0,1,3,0,2,Match Report
849,Venezia,2025-02-01,26,@,Udinese,it Serie A,L 2-3,2,3,-1,49,2,0,0,0,26,16,6,1,1,2,0,Match Report
850,Newcastle Utd,2025-01-15,26,,Wolves,eng Premier League,W 3-0,3,0,+3,60,3,0,0,0,26,21,1,2,0,1,1,Match Report
851,Newcastle Utd,2024-10-05,26,@,Everton,eng Premier League,D 0-0,0,0,0,67,0,0,1,1,26,20,4,0,0,2,0,Match Report
852,Newcastle Utd,2024-08-25,26,@,Bournemouth,eng Premier League,D 1-1,1,1,0,61,1,0,0,0,26,22,2,1,1,0,0,Match Report
853,Rennes,2024-09-01,26,@,Reims,fr Ligue 1,L 1-2,1,2,-1,47,1,0,0,0,26,17,3,2,2,1,1,Match Report
854,Ipswich Town,2024-11-02,26,,Leicester City,eng Premier League,D 1-1,1,1,0,43,1,0,0,0,26,15,6,1,2,2,0,Match Report
855,Manchester City,2025-03-08,26,@,Nott'ham Forest,eng Premier League,L 0-1,0,1,-1,69,0,0,0,0,26,21,3,1,0,1,0,Match Report
856,Manchester City,2024-12-29,26,@,Leicester City,eng Premier League,W 2-0,2,0,+2,47,2,0,0,0,26,20,1,2,1,1,1,Match Report
857,Strasbourg,2024-10-19,26,@,Paris S-G,fr Ligue 1,L 2-4,2,4,-2,45,2,0,0,0,26,14,2,5,3,0,2,Match Report
858,Strasbourg,2024-08-30,26,@,Lyon,fr Ligue 1,L 3-4,3,4,-1,52,3,0,0,0,26,22,1,1,0,1,1,Match Report
